title,Unnamed: 0,Desc,Unnamed: 0.1,author,genre,image_link,rating,bookID,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12
Oliver Twist,1498,"A gripping portrayal of London's dark criminal underbelly, published in Penguin Classics with an introduction by Philip Horne.The story of Oliver Twist - orphaned, and set upon by evil and adversity from his first breath - shocked readers when it was published. After running away from the workhouse and pompous beadle Mr Bumble, Oliver finds himself lured into a den of thieves peopled by vivid and memorable characters - the Artful Dodger, vicious burglar Bill Sikes, his dog Bull's Eye, and prostitute Nancy, all watched over by cunning master-thief Fagin. Combining elements of Gothic Romance, the Newgate Novel and popular melodrama, Dickens created an entirely new kind of fiction, scathing in its indictment of a cruel society, and pervaded by an unforgettable sense of threat and mystery.This Penguin Classics edition of Oliver Twist is the first critical edition to faithfully reproduce the text as its earliest readers would have encountered it from its serialisation in Bentley's Miscellany, and includes an introduction by Philip Horne, a glossary of Victorian thieves' slang, a chronology of Dickens's life, a map of contemporary London and all of George Cruikshank's original illustrations.For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",,Charles Dickens,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868529l/18254.jpg,3.86,18255,Charles Dickens,3.86,486424537,9.78E+12,eng,368,2077,83,12/30/2002,Dover Publications,
On Beauty,1896,"Howard Belsey, a Rembrandt scholar who doesn't like Rembrandt, is an Englishman abroad and a long-suffering professor at Wellington, a liberal New England arts college. He has been married for thirty years to Kiki, an American woman who no longer resembles the sexy activist she once was. Their three children passionately pursue their own paths: Levi quests after authentic blackness, Zora believes that intellectuals can redeem everybody, and Jerome struggles to be a believer in a family of strict atheists. Faced with the oppressive enthusiasms of his children, Howard feels that the first two acts of his life are over and he has no clear plans for the finale. Or the encore.Then Jerome, Howard's older son, falls for Victoria, the stunning daughter of the right-wing icon Monty Kipps, and the two families find themselves thrown together in a beautiful corner of America, enacting a cultural and personal war against the background of real wars that they barely register. An infidelity, a death, and a legacy set in motion a chain of events that sees all parties forced to examine the unarticulated assumptions which underpin their lives. How do you choose the work on which to spend your life? Why do you love the people you love? Do you really believe what you claim to? And what is the beautiful thing, and how far will you go to get it?Set on both sides of the Atlantic, Zadie Smith's third novel is a brilliant analysis of family life, the institution of marriage, intersections of the personal and political, and an honest look at people's deceptions. It is also, as you might expect, very funny indeed.",,Zadie Smith,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495961870l/3679._SY475_.jpg,3.73,3679,Zadie Smith,3.73,143037749,9.78E+12,eng,445,53736,3657,8/29/2006,Penguin Books,
On the Road,1406,"When Jack Kerouac’s On the Road first appeared in 1957, readers instantly felt the beat of a new literary rhythm. A fictionalised account of his own journeys across America with his friend Neal Cassady, Kerouac’s beatnik odyssey captured the soul of a generation and changed the landscape of American fiction for ever.Influenced by Jack London and Thomas Wolfe, Kerouac always wanted to be a writer, but his true voice only emerged when he wrote about his own experiences in On the Road. Leaving a broken marriage behind him, Sal Paradise (Kerouac) joins Dean Moriarty (Cassady), a tearaway and former reform school boy, on a series of journeys that takes them from New York to San Francisco, then south to Mexico. Hitching rides and boarding buses, they enter a world of hobos and drifters, fruit-pickers and migrant families, small towns and wide horizons. Adrift from conventional society, they experience America in the raw: a place where living is hard, but ‘life is holy and every moment is precious’.With its smoky, jazz-filled atmosphere and its restless, yearning spirit of adventure, On the Road left its mark on the culture of the late 20th century, influencing countless books, films and songs. Kerouac’s prose is remarkable both for its colloquial swing and for the pure lyricism inspired by the American landscape – ‘the backroads, the black-tar roads that curve among the mournful rivers like Susquehanna, Monongahela, old Potomac and Monocacy’. This Folio Society edition is illustrated with evocative photographs of Kerouac and the landscapes of 1950s America. Now acknowledged as a modern classic, On the Road remains a thrilling and poignant story of the road less travelled.",,Jack Kerouac,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413588576l/70401.jpg,3.63,2551,Jack Kerouac,3.63,143036386,9.78E+12,eng,320,488,39,09-06-2005,Penguin Books,
One Day in the Life of Ivan Denisovich,1722,"The only English translation authorized by Aleksandr Solzhenitsyn First published in the Soviet journal Novy Mir in 1962, One Day in the Life of Ivan Denisovich stands as a classic of contemporary literature. The story of labor-camp inmate Ivan Denisovich Shukhov, it graphically describes his struggle to maintain his dignity in the face of communist oppression. An unforgettable portrait of the entire world of Stalin's forced work camps, One Day in the Life of Ivan Denisovich is one of the most extraordinary literary documents to have emerged from the Soviet Union and confirms Solzhenitsyn's stature as ""a literary genius whose talent matches that of Dosotevsky, Turgenev, Tolstoy""--Harrison SalisburyThis unexpurgated 1991 translation by H. T. Willetts is the only authorized edition available, and fully captures the power and beauty of the original Russian.",,Aleksandr Solzhenitsyn,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574794164l/17125._SY475_.jpg,3.95,17125,Aleksandr Solzhenitsyn/H.T. Willetts,3.95,374529523,9.78E+12,eng,182,73577,2521,3/16/2005,Farrar  Straus and Giroux,
One Flew Over the Cuckoo's Nest,1330,"Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates. His struggle is seen through the eyes of Chief Bromden, a seemingly mute half-Indian patient who understands McMurphy's heroic attempt to do battle with the powers that keep them imprisoned. Ken Kesey's extraordinary first novel is an exuberant, ribald and devastatingly honest portrayal of the boundaries between sanity and madness.",,Ken Kesey,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014l/332613._SX318_.jpg,4.2,11225,Ken Kesey,4.2,451137094,9.78E+12,eng,272,1120,104,02-01-1963,Signet,
One Hundred Years of Solitude,1248,"The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",,Gabriel García Márquez,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361l/320.jpg,4.07,5215,Gabriel García Márquez/Gregory Rabassa,4.07,60740450,9.78E+12,eng,458,3437,316,1/20/2004,Harper Perennial,
Orlando,1914,"Virginia Woolf's Orlando 'The longest and most charming love letter in literature', playfully constructs the figure of Orlando as the fictional embodiment of Woolf's close friend and lover, Vita Sackville-West. Spanning three centuries, the novel opens as Orlando, a young nobleman in Elizabeth's England, awaits a visit from the Queen and traces his experience with first love as England under James I lies locked in the embrace of the Great Frost. At the midpoint of the novel, Orlando, now an ambassador in Constantinople, awakes to find that he is now a woman, and the novel indulges in farce and irony to consider the roles of women in the 18th and 19th centuries. As the novel ends in 1928, a year consonant with full suffrage for women. Orlando, now a wife and mother, stands poised at the brink of a future that holds new hope and promise for women.",,Virginia Woolf,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443118010l/18839._SY475_.jpg,3.87,18839,Virginia Woolf,3.87,141184272,9.78E+12,eng,228,42153,2071,9/28/2000,Penguin Classics,
Othello,1860,"In Othello, Shakespeare creates a powerful drama of a marriage that begins with fascination (between the exotic Moor Othello and the Venetian lady Desdemona), with elopement, and with intense mutual devotion and that ends precipitately with jealous rage and violent deaths. He sets this story in the romantic world of the Mediterranean, moving the action from Venice to the island of Cyprus and giving it an even more exotic coloring with stories of Othello's African past. Shakespeare builds so many differences into his hero and heroine—differences of race, of age, of cultural background—that one should not, perhaps, be surprised that the marriage ends disastrously. But most people who see or read the play feel that the love that the play presents between Othello and Desdemona is so strong that it would have overcome all these differences were it not for the words and actions of Othello's standard-bearer, Iago, who hates Othello and sets out to destroy him by destroying his love for Desdemona. As Othello succumbs to Iago's insinuations that Desdemona is unfaithful, fascination—which dominates the early acts of the play—turns to horror, especially for the audience. We are confronted by spectacles of a generous and trusting Othello in the grip of Iago's schemes; of an innocent Desdemona, who has given herself up entirely to her love for Othello only to be subjected to his horrifying verbal and physical assaults, the outcome of Othello's mistaken convictions about her faithlessness.",,William Shakespeare,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459795105l/12996._SY475_.jpg,3.89,12996,William Shakespeare,3.89,743477553,9.78E+12,eng,314,273070,4265,01-01-2004,Simon  Schuster,
Outlander,1404,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desire—and between two vastly different men in two irreconcilable lives.",,Diana Gabaldon,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012l/10964._SY475_.jpg,4.23,10970,Matt Keefe,3.85,184416411X,9.78E+12,eng,254,54,5,12/26/2006,Games Workshop(uk),
Pale Fire,2030,"The American poet John Shade is dead. His last poem, 'Pale Fire', is put into a book, together with a preface, a lengthy commentary and notes by Shade's editor, Charles Kinbote. Known on campus as the 'Great Beaver', Kinbote is haughty, inquisitive, intolerant, but is he also mad, bad - and even dangerous? As his wildly eccentric annotations slide into the personal and the fantastical, Kinbote reveals perhaps more than he should be.Nabokov's darkly witty, richly inventive masterpiece is a suspenseful whodunit, a story of one-upmanship and dubious penmanship, and a glorious literary conundrum.Part of a major new series of the works of Vladimir Nabokov, author of Lolita and Pale Fire, in Penguin Classics.",,Vladimir Nabokov,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388155863l/7805.jpg,4.15,7805,Vladimir Nabokov,4.15,141185260,9.78E+12,eng,246,32544,1610,8/31/2000,Penguin Books Ltd,
Paradise Lost,2007,"John Milton's Paradise Lost is one of the greatest epic poems in the English language. It tells the story of the Fall of Man, a tale of immense drama and excitement, of rebellion and treachery, of innocence pitted against corruption, in which God and Satan fight a bitter battle for control of mankind's destiny. The struggle rages across three worlds - heaven, hell, and earth - as Satan and his band of rebel angels plot their revenge against God. At the center of the conflict are Adam and Eve, who are motivated by all too human temptations but whose ultimate downfall is unyielding love.Marked by Milton's characteristic erudition, Paradise Lost is a work epic both in scale and, notoriously, in ambition. For nearly 350 years, it has held generation upon generation of audiences in rapt attention, and its profound influence can be seen in almost every corner of Western culture.",,John Milton,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526070678l/15997._SY475_.jpg,3.82,15997,John Milton/John      Leonard,3.82,140424393,9.78E+12,eng,453,113473,2598,2/27/2003,Penguin Classics,
Perfume: The Story of a Murderer,1495,"An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion—his sense of smell—leads to murder.In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift—an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume""—the scent of a beautiful young virgin. Told with dazzling narrative brilliance, Perfume is a hauntingly powerful tale of murder and sensual depravity.",,Patrick Süskind,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409112276l/343.jpg,4.02,2895,Patrick Süskind/John E. Woods,4.02,307277763,9.78E+12,eng,255,1124,191,2/13/2001,Vintage International,
Persuasion,1407,"Twenty-seven-year old Anne Elliot is Austen's most adult heroine. Eight years before the story proper begins, she is happily betrothed to a naval officer, Frederick Wentworth, but she precipitously breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret. When later Wentworth returns from sea a rich and successful captain, he finds Anne's family on the brink of financial ruin and his own sister a tenant in Kellynch Hall, the Elliot estate. All the tension of the novel revolves around one question: Will Anne and Wentworth be reunited in their love?Jane Austen once compared her writing to painting on a little bit of ivory, 2 inches square. Readers of Persuasion will discover that neither her skill for delicate, ironic observations on social custom, love, and marriage nor her ability to apply a sharp focus lens to English manners and morals has deserted her in her final finished work.",,Jane Austen,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385172413l/2156.jpg,4.14,2156,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,4.14,192802631,9.78E+12,eng,249,441462,11308,3/18/2004,Oxford University Press,
Pet Sematary,1638,"'This is an alternate Cover Edition for ASIN: B00K3NEE56. When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son-and now an idyllic home. As a family, they've got it all...right down to the friendly car. But the nearby woods hide a blood-chilling truth-more terrifying than death itself-and hideously more powerful. The Creeds are going to learn that sometimes dead is better.",,Stephen King,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480069533l/33124137._SY475_.jpg,3.98,10583,Stephen King,3.98,1416524347,9.78E+12,eng,576,257466,3768,11-01-2005,Pocket Books,
Peter Pan,1794,"Peter Pan by J. M. Barrie Peter pan, the mischievous boy who refuses to grow up, lands in the Darling's proper middle-class home to look for his shadow. He befriends Wendy, John and Michael and teaches them to fly (with a little help from fairy dust). He and Tinker Bell whisk them off to Never-land where they encounter the Red Indians, the Little Lost Boys, pirates and the dastardly Captain Hook.",,J.M. Barrie,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337714526l/34268.jpg,4.08,34268,J.M. Barrie/Michael Hague,4.08,805072454,9.78E+12,eng,176,213538,5609,10-01-2003,Henry Holt and Co.,
Plain Truth,1999,"The small town of Paradise, Pennsylvania, is a jewel in Lancaster County - known for its picture-postcard landscapes and bucolic lifestyle. But that peace is shattered by the discovery of a dead infant in the barn of an Amish farmer. A police investigation quickly leads to two startling disclosures: the newborn's mother is an unmarried Amish woman, eighteen-year-old Katie Fisher. And the infant did not die of natural causes. Although Katie denies the medical proof that she gave birth to the child, circumstantial evidence leads to her arrest for the murder of her baby. One hundred miles away, Philadelphia defense attorney Ellie Hathaway has achieved an enviable, high-profile career. But her latest court victory has set the sands shifting beneath her. Single at thirty-nine and unsatisfied with her relationship, Ellie doesn't look back when she turns down her chance to make partner and takes off for an open-ended stay at her great-aunt's home in Paradise. Fate brings her to Katie Fisher. Suddenly, Ellie sees the chance to defend a client who truly needs her, not just one who can afford her. But taking on this case challenges Ellie in more ways than one. She finds herself not only in a clash of wills with a client who does not want to be defended but also in a clash of cultures with a people whose channels of justice are markedly different from her own. Immersing herself in Katie Fisher's life -- and in a world founded on faith, humility, duty, and honesty -- Ellie begins to understand the pressures and sacrifices of those who to live plain. As she peels away the layers of fact and fantasy, Ellie calls on an old friend for guidance. Now, just as this man from Ellie's past reenters her life, she must uncover the truth about a complex case, a tragic loss, the bonds of love -- and her own deepest fears and desires.",,Jodi Picoult,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389750843l/14864.jpg,3.98,14864,Jodi Picoult,3.98,743275012,9.78E+12,eng,405,143658,5760,11-01-2004,Atria Books,
Possession,1785,"Possession is an exhilarating novel of wit and romance, at once an intellectual mystery and triumphant love story. It is the tale of a pair of young scholars researching the lives of two Victorian poets. As they uncover their letters, journals, and poems, and track their movements from London to Yorkshire—from spiritualist séances to the fairy-haunted far west of Brittany—what emerges is an extraordinary counterpoint of passions and ideas.Man Booker Prize Winner (1990)",,A.S. Byatt,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391124124l/41219.jpg,3.89,41219,A.S. Byatt,3.89,679735909,9.78E+12,eng,555,62580,3465,10-01-1991,Vintage,
Prey,1982,"In the Nevada desert, an experiment has gone horribly wrong. A cloud of nanoparticles -- micro-robots -- has escaped from the laboratory. This cloud is self-sustaining and self-reproducing. It is intelligent and learns from experience. For all practical purposes, it is alive.It has been programmed as a predator. It is evolving swiftly, becoming more deadly with each passing hour.Every attempt to destroy it has failed.And we are the prey.",,Michael Crichton,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556292204l/83763._SY475_.jpg,3.75,16919,Graham Masterton,3.83,843946334,9.78E+12,eng,352,812,51,11-01-1999,Leisure Books,
Pride and Prejudice,1214,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",,Jane Austen,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg,4.26,1888,Jane Austen,4.26,192802380,9.78E+12,eng,333,2399,253,02-11-2004,Oxford University Press,
Principle-Centered Leadership,928,"Bestselling author David Maister teams up with Charles H. Green and Robert M. Galford to bring us the essential tool for all consultants, negotiators, and advisors.In today's fast-paced networked economy, professionals must work harder than ever to maintain and improve their business skills and knowledge. But technical mastery of one's discipline is not enough, assert world-renowned professional advisors David H. Maister, Charles H. Green, and Robert M. Galford. The key to professional success, they argue, is the ability to earn the trust and confidence of clients. To demonstrate the paramount importance of trust, the authors use anecdotes, experiences, and examples -- successes and mistakes, their own and others' -- to great effect. The result is an immensely readable book that will be welcomed by the inexperienced advisor and the most seasoned expert alike.",929,Stephen R. Covey,Business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429971401l/44644.jpg,4.1,44644,Stephen R. Covey,4.1,671792806,9.78E+12,eng,336,15003,140,10-01-1992,Free Press,
Prodigal Summer,1784,"Prodigal Summer weaves together three stories of human love within a larger tapestry of lives inhabiting the forested mountains and struggling small farms of southern Appalachia.From her outpost in an isolated mountain cabin, Deanna Wolfe, a reclusive wildlife biologist, watches a den of coyotes that have recently migrated into the region. She is caught off-guard by a young hunter who invades her most private spaces and confounds her self-assured, solitary life. On a farm several miles down the mountain, Lusa Maluf Landowski, a bookish city girl turned farmer's wife, finds herself unexpectedly marooned in a strange place where she must declare or lose her attachment to the land that has become her own. And a few more miles down the road, a pair of elderly feuding neighbors tend their respective farms and wrangle about God, pesticides, and the possibilities of a future neither of them expected.Over the course of one humid summer, these characters find their connections to one another and to the flora and fauna with whom they share a place. Prodigal Summer demonstrates a balance of narrative, drama and ideas that is characteristic of Barbara Kingsolver's finest work.",,Barbara Kingsolver,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426308771l/14249.jpg,4,14249,Barbara Kingsolver,4,60959037,9.78E+12,eng,444,88241,5652,10/16/2001,Harper Perennial,
Ragtime,2310,"Published in 1975, Ragtime changed our very concept of what a novel could be. An extraordinary tapestry, Ragtime captures the spirit of America in the era between the turn of the century & the First World War. The story opens in 1906 in New Rochelle, NY, at the home of an affluent American family. One lazy Sunday afternoon, the famous escape artist Harry Houdini swerves his car into a telephone pole outside their house. Almost magically, the line between fantasy & historical fact, between real & imaginary characters, disappears. Henry Ford, Emma Goldman, J.P. Morgan, Evelyn Nesbit, Sigmund Freud & Emiliano Zapata slip in & out of the tale, crossing paths with Doctorow's imagined family & other fictional characters, including an immigrant peddler & a ragtime musician from Harlem whose insistence on a point of justice drives him to revolutionary violence.",,E.L. Doctorow,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320531790l/175675.jpg,3.88,40459,E.L. Doctorow,3.88,553026003,9.78E+12,eng,369,210,37,03-01-1977,Bantam Books,
Rant,2414,"Buster “Rant” Casey just may be the most efficient serial killer of our time. A high school rebel, Rant Casey escapes from his small town home for the big city where he becomes the leader of an urban demolition derby called Party Crashing. Rant Casey will die a spectacular highway death, after which his friends gather the testimony needed to build an oral history of his short, violent life.",,Chuck Palahniuk,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388248283l/22285.jpg,3.81,22285,Chuck Palahniuk,3.81,385517874,9.78E+12,eng,320,55592,2516,05-01-2007,Doubleday Books,
Ready for Anything: 52 Productivity Principles for Getting Things Done,21,"In his bestselling first book, Getting Things Done, veteran coach and management consultant David Allen presented his breakthrough methods to increase efficiency. Now ""the personal productivity guru"" (Fast Company) shows readers how to increase their ability to work better, not harder every day. Based on Allen's highly popular e-newsletter, Ready for Anything offers readers 52 ways to immediately clear your head for creativity, focus your attention, create structures that work, and take action to get things moving. With wit, inspiration, and know-how, Allen shows readers how to make things happen with less effort and stress, and lots more energy, creativity, and effectiveness. Ready for Anything is the perfect book for anyone wanting to work and live at his or her very best.",21,David Allen,Business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388211969l/2581.jpg,3.85,2581,David    Allen,3.85,143034545,9.78E+12,eng,165,3832,178,12/28/2004,Penguin Books,
Rebecca,1390,"Last night I dreamt I went to Manderley again . . .The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their lives--presenting her with a lingering evil that threatens to destroy their marriage from beyond the grave.",,Daphne du Maurier,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948.jpg,4.23,12873,Daphne du Maurier/Sally Beauman,4.23,1844080382,9.78E+12,en-US,441,179639,8119,12-01-2007,Virago Press (UK),
Robinson Crusoe,1531,"Daniel Defoe (1659/1661 [?] - 1731) was an English writer, journalist, and spy, who gained enduring fame for his novel Robinson Crusoe. Defoe is notable for being one of the earliest practitioners of the novel and helped popularize the genre in Britain. In some texts he is even referred to as one of the founders, if not the founder, of the English novel. A prolific and versatile writer, he wrote",,Daniel Defoe,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403180114l/2932.jpg,3.67,2933,Daniel Defoe/John J. Richetti,3.67,141439823,9.78E+12,eng,286,1507,142,3/27/2003,Penguin Classics,
Romeo and Juliet,1358,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers.",,William Shakespeare,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085l/18135._SY475_.jpg,3.74,18135,William Shakespeare/Paul Werstine/Barbara A. Mowat,3.74,743477111,9.78E+12,eng,368,1893917,14637,01-01-2004,Simon Schuster,
'Salem's Lot,1688,"There was a time once when vampires were ruthless predators and not the misunderstood brooding and essentially harmless creatures. Ahhhh, good old scary times... Vampire stories have been around for a long time - after all, people love a good scare, and what is more terrifying than a monster showing up at night and sucking the life essence out of you? But leave it to Stephen King to turn the terror up a notch, add a whole new layer to it. How? Simply - using the winning formula that he continues",,Stephen King,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327891565l/11590.jpg,4.02,5413,Stephen King/Jerry N. Uelsmann,4.25,385516487,9.78E+12,eng,594,84123,571,11-01-2005,Doubleday,
Sam Walton: Made In America,673,"Samuel Moore ""Sam"" Walton was an American businessman and entrepreneur born in Kingfisher, Oklahoma, best known for founding the retailers Walmart and Sam's Club.",674,Sam Walton,Business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463939506l/10631._SY475_.jpg,4.15,10631,Sam Walton/John Huey,4.15,553562835,9.78E+12,eng,346,14157,610,06-01-1993,Bantam,
Saturday,2104,"Saturday is a masterful novel set within a single day in February 2003. Henry Perowne is a contented man — a successful neurosurgeon, happily married to a newspaper lawyer, and enjoying good relations with his children. Henry wakes to the comfort of his large home in central London on this, his day off. He is as at ease here as he is in the operating room. Outside the hospital, the world is not so easy or predictable. There is an impending war against Iraq, and a general darkening and gathering pessimism since the New York and Washington attacks two years before.On this particular Saturday morning, Perowne's day moves through the ordinary to the extraordinary. After an unusual sighting in the early morning sky, he makes his way to his regular squash game with his anaesthetist, trying to avoid the hundreds of thousands of marchers filling the streets of London, protesting against the war. A minor accident in his car brings him into a confrontation with a small-time thug. To Perowne's professional eye, something appears to be profoundly wrong with this young man, who in turn believes the surgeon has humiliated him — with savage consequences that will lead Henry Perowne to deploy all his skills to keep his family alive.",,Ian McEwan,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431501825l/5015._SY475_.jpg,3.63,5015,Ian McEwan,3.63,1400076196,9.78E+12,eng,289,52576,3332,04-11-2006,Anchor,
Sense and Sensibility,1345,"Alternate cover edition of ISBN 9780141439662'The more I know of the world, the more am I convinced that I shall never see a man whom I can really love. I require so much!'Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love—and its threatened loss—the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love.This edition includes explanatory notes, textual variants between the first and second editions, and Tony Tanner's introduction to the original Penguin Classic edition.",,Jane Austen,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397245675l/14935._SY475_.jpg,4.07,14934,Jane Austen/Claudia L. Johnson,4.07,039397751X,9.78E+12,eng,269,768,68,10/30/2001,W. W. Norton & Company,
She's Come Undone,1569,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years.Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",,Wally Lamb,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543505339l/5203.jpg,3.88,5203,Wally Lamb,3.88,671021001,9.78E+12,eng,465,294348,9096,6/28/1998,Pocket,
Shopgirl,2410,"Lonely, depressed, Vermont transplant Mirabelle Buttersfield, who sells expensive evening gloves nobody ever buys at Neiman Marcus in Beverly Hills and spends her evenings watching television with her two cats. She attempts to forge a relationship with middle-aged, womanizing, Seattle millionaire Ray Porter while being pursued by socially inept and unambitious slacker Jeremy.With more than 340,000 copies in print, Steve Martin's Shopgirl has landed on bestseller lists nationwide including: New York Times, Publishers Weekly, USA Today, Wall Street Journal, San Francisco Chronicle, Washington Post, and Los Angeles Times.Filled with the kind of witty, discerning observations that have brought Steve Martin incredible critical success, this story of modern day love and romance is a work of disarming tenderness.",,Steve Martin,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442525303l/10873._SY475_.jpg,3.42,10873,Steve Martin,3.43,786891076,9.78E+12,eng,130,30067,2166,01-01-2000,Hachette Books,
